year,date,sorghum,wcc,diff_sorghum_minus_wcc,p,sig,wcc_lower,sig_wcc_lower
2024,2024-05-15,20.10319125,21.33369125,-1.2305000000000028,NA,FALSE,FALSE,FALSE
2024,2024-05-31,27.04583375,26.8560425,0.18979124999999897,NA,FALSE,TRUE,FALSE
2024,2024-06-05,23.607221666666668,25.6246875,-2.0174658333333326,NA,FALSE,FALSE,FALSE
2024,2024-06-12,31.69232625,32.6375,-0.9451737500000021,NA,FALSE,FALSE,FALSE
2024,2024-06-17,27.109285714285715,25.00395875,2.105326964285716,0.0010642924889158604,TRUE,TRUE,TRUE
2024,2024-06-21,29.2858975,29.32760375,-0.04170625000000072,NA,FALSE,FALSE,FALSE
2024,2024-07-01,20.653794285714287,17.53544375,3.1183505357142884,0.011896131207946237,TRUE,TRUE,TRUE
2024,2024-07-03,24.799999999999997,24.96270875,-0.16270875000000373,NA,FALSE,FALSE,FALSE
2024,2024-07-10,24.390973333333335,22.905105,1.485868333333336,NA,FALSE,TRUE,FALSE
2024,2024-07-17,25.793332857142858,25.09135375,0.7019791071428578,NA,FALSE,TRUE,FALSE
2024,2024-07-19,28.07864625,28.44333375,-0.3646875000000023,NA,FALSE,FALSE,FALSE
2024,2024-07-22,25.3465625,25.342603750000002,0.003958749999998901,NA,FALSE,TRUE,FALSE
2024,2024-07-31,25.9685,25.657082499999998,0.311417500000001,NA,FALSE,TRUE,FALSE
2024,2024-08-07,24.788541249999998,22.887500000000003,1.9010412499999951,0.005612335546240148,TRUE,TRUE,TRUE
2024,2024-08-23,23.614635,20.923888333333334,2.6907466666666657,NA,FALSE,TRUE,FALSE
2024,2024-08-30,24.332394999999998,24.35895875,-0.026563750000001107,NA,FALSE,FALSE,FALSE
2024,2024-09-13,25.664225000000002,24.6425,1.0217250000000035,NA,FALSE,TRUE,FALSE
2024,2024-11-01,11.19458375,8.049895,3.1446887500000003,2.0230813768487124e-4,TRUE,TRUE,TRUE
